,index,League,Season,Home_Team,Away_Team,Home_Goals,Away_Goals,Home_FH,Away_FH,Home_Win,Draw,Away_Win,Over_2_5,Under_2_5,Code_1,Code_2,Total_Goals,FH_Goals,Winner,HT_Winner
29,12920,Spa1,20,Villarreal,Real Madrid,2,2,1,1,3730.0,4070.0,1940.0,1400,3110,3020,3010,4,2,D,D
30,12921,Spa1,20,Mallorca,Bilbao,0,0,0,0,3650.0,3090.0,2310.0,2740,1500,3009,3008,0,0,D,D
31,12922,Spa1,20,Real Madrid,Levante,3,2,3,0,1270.0,6800.0,9990.0,1260,4150,3010,3016,5,3,H,H
32,12923,Spa1,20,Real Sociedad,Atletico,2,0,0,0,3750.0,3100.0,2270.0,2520,1570,3015,3003,2,0,H,D
33,12924,Spa1,20,Barcelona,Valencia,5,2,2,1,1610.0,3990.0,6180.0,1930,1970,3018,3019,7,3,H,H
34,12925,Spa1,20,Leganes,Villarreal,0,3,0,2,2620.0,3080.0,3100.0,2340,1650,3067,3020,3,2,A,A
35,12926,Spa1,20,Betis,Getafe,1,1,0,1,2240.0,3360.0,3510.0,2130,1780,3002,3012,2,1,D,A
36,12927,Spa1,20,Alaves,FC Sevilla,0,1,0,1,4200.0,3180.0,2100.0,2530,1570,3021,3013,1,1,A,A
37,12928,Spa1,20,Celta Vigo,Granada,0,2,0,1,1720.0,3960.0,5020.0,1910,1990,3022,3033,2,1,A,A
38,12929,Spa1,20,Valladolid,Osasuna,1,1,0,0,2180.0,3090.0,4040.0,2400,1630,3028,3007,2,0,D,D
39,12930,Spa1,20,Eibar,Espanyol,1,2,0,0,2080.0,3380.0,3970.0,2150,1770,3039,3005,3,0,A,D
40,12931,Spa1,20,Osasuna,Betis,0,0,0,0,2450.0,3310.0,3130.0,1940,1960,3007,3002,0,0,D,D
41,12932,Spa1,20,Atletico,Celta Vigo,0,0,0,0,1500.0,4170.0,7960.0,1950,1950,3003,3022,0,0,D,D
42,12933,Spa1,20,Levante,Eibar,0,0,0,0,2390.0,3420.0,3140.0,1720,2230,3016,3039,0,0,D,D
43,12934,Spa1,20,Villarreal,Valladolid,2,0,0,0,1660.0,4010.0,5570.0,1910,1990,3020,3028,2,0,H,D
44,12935,Spa1,20,Granada,Barcelona,2,0,1,0,7200.0,4850.0,1450.0,1670,2310,3033,3018,2,1,H,H
45,12936,Spa1,20,Espanyol,Real Sociedad,1,3,0,2,3070.0,3130.0,2600.0,2350,1650,3005,3015,4,2,A,A
46,12937,Spa1,20,Bilbao,Alaves,2,0,1,0,1670.0,3600.0,6460.0,2940,1440,3008,3021,2,1,H,H
47,12938,Spa1,20,Getafe,Mallorca,4,2,2,0,1730.0,3570.0,5760.0,2520,1570,3012,3009,6,2,H,H
48,12939,Spa1,20,FC Sevilla,Real Madrid,0,1,0,0,2580.0,3780.0,2640.0,1500,2720,3013,3010,1,0,A,D
49,12940,Spa1,20,Valencia,Leganes,1,1,1,1,1630.0,3790.0,6470.0,2340,1660,3019,3067,2,2,D,D
50,12941,Spa1,20,Betis,Levante,3,1,1,1,1780.0,3770.0,4870.0,1600,2460,3002,3016,4,2,H,D
51,12942,Spa1,20,Barcelona,Villarreal,2,1,2,1,1260.0,6940.0,10670.0,1280,3910,3018,3020,3,3,H,H
52,12943,Spa1,20,Valladolid,Granada,1,1,1,1,2300.0,3060.0,3720.0,2630,1530,3028,3033,2,2,D,D
53,12944,Spa1,20,Mallorca,Atletico,0,2,0,1,5610.0,3870.0,1680.0,2170,1750,3009,3003,2,1,A,A
54,12945,Spa1,20,Real Madrid,Osasuna,2,0,1,0,1390.0,5210.0,8060.0,1480,2810,3010,3007,2,1,H,H
55,12946,Spa1,20,Valencia,Getafe,3,3,3,1,2410.0,2960.0,3620.0,2590,1550,3019,3012,6,4,D,H
56,12947,Spa1,20,Leganes,Bilbao,1,1,0,0,3090.0,2800.0,2870.0,3430,1350,3067,3008,2,0,D,D
57,12948,Spa1,20,Real Sociedad,Alaves,3,0,3,0,1520.0,3940.0,8370.0,2350,1650,3015,3021,3,3,H,H
58,12949,Spa1,20,Celta Vigo,Espanyol,1,1,0,0,1820.0,3650.0,4820.0,2080,1820,3022,3005,2,0,D,D
59,12950,Spa1,20,Eibar,FC Sevilla,3,2,0,2,3570.0,3400.0,2190.0,2130,1780,3039,3013,5,2,H,A
